.0562,.1172,.0474,.6796,1.7622,1.9208,.1128,.7802,.1342
.0424,.158,.038,.513,.7182,.3664,.111,.8084,.1356
.049,.3386,.867,.901,.1388,1.242,.1474,.506,.124
.048,.2424,.1668,.136,.157,.1322,.1286,.1104,.1336
.0458,.2246,.0444,.1426,.4366,.1308,.1594,.116,.1358
.0486,.204,.0412,.1496,.313,.1448,.2876,.107,.132
.0456,.1346,.0408,1.033,.3386,.1656,.1092,.9138,.1536
.0474,.1206,.0322,.141,.5002,.1444,.1216,.3108,.132
.0488,.1344,.0398,.155,.225,.1806,.2022,.1116,.2588
.046,.215,.0412,.1614,.1976,.1976,.1772,.4744,.1276
.0512,.1296,.042,.151,.1686,.4216,.2116,.1216,.1534
.0538,.1966,.0456,.209,1.8256,.0976,1.298,.1276,.2336
.0526,.329,.0416,1.1762,.8714,.1348,2.9232,.2044,.3356
.0514,.2894,.297,.3234,.3162,.2828,.9112,.257,.7146
.0542,.3664,2.808,.3798,.4068,.9668,.73,.46930981715857967,.8596
.0548,1.7948,.2376,1.7324,1.022,.2442,.096,.25952514037206753,1.0392
.0482,1.2234,.0478,.752,1.1544,.4972,1.1146,1.0578060677246748,1.0556
.0488,.168,.048,.1334,.2068,.1422,2.3346,.7600613214047252,.1322
.0468,.1724,.0388,1.096,.2372,.1422,.7266,.9651507368282972,.1202
.0478,.1978,.0418,1.7102,.1798,.2088,.1208,1.2445185134159027,.1438
.0542,.1346,.0516,.1534,.1784,.1464,.3418,.31717967251032575,.1428
.0436,.1458,.0502,.1514,.1908,.1408,.2094,.9798125881673394,.1248
.0438,.1476,.0516,.139,.1966,.1702,.1072,.52825338449046,.1344
.0528,.2136,.0522,.142,.1474,.1316,.0916,.5203190586501358,.1286
.3234,.1592,.0586,.149,.1376,.1226,.0616,.7068391159148513,.1206
.6172,.1754,.0518,.9658,.1906,.3144,.0432,.8352216813684998,.1232
.0528,.1466,.0532,.7352,.1848,.1452,.0382,.9787037010276316,.129
.0492,.1574,.049,.1406,.1406,.1252,.0408,1.0834054063045977,.1154
.0566,.1756,.0536,.1698,.2266,.1066,.0328,.4143172279903291,.1018
.0554,.1742,.0568,.5356,.2632,.1314,.0804,.8069063165196775,.1128
.0506,.1296,3.37,.1474,.2092,.2414,.1854,.7862687791669367,.1754
.0502,.135,1.2294,.135,.1694,.1922,.044,.3798990422831474,.169
.0478,.1466,.049,.144,.029,.1542,.054,.2075,.1644
.0514,.1586,.4536,.1466,.15707414475096418,.1436,.0468,.6098,.1564
.0774,.1682,.2744,.1604,.14597150888006766,.1456,.089,2.1792,.1452
.0502,.1806,.0504,1.3986,.13433427592310332,.0966,.084,2.1862,.099
.0534,.1572,.0488,.1404,.12707986319715567,.15,.053,1.0802,.2038
.0486,.219,.0438,.1432,.12912568801931018,.1548,.075,2.571,.1024
.0474,.1744,.0424,.7688,.14538916770665117,.1976,.0988,2.4068,.1554
.0528,.198,.0446,.1408,.18078771957626477,.0996,.0736,4.0648,.1198
.045,.2022,.0444,.1438,.24023876094523539,.1196,.0828,.454,.1048
.037,.1834,.2456,.1432,.144,.1324,.241,.1614,.1008
.1318,.1644,.2466,.6208,.1534,.1342,.2378,.1802,.2322
.0406,.1578,.0258,.3826,.3766,.456,.3366,.844355528478141,.203
.4376,.1196,.0158,.584,1.0352,.4818,.4322,.7348,.384
.8538,.616,.7294,.692,.6834,.2918,.5102,.6648,.4334
.4332,.6146,.3024,.6142,.6108,.4986,.5586,1.0498,.4406
4.1736,.883,.8052,.9166,1.2806,2.4222,3.4248,3.4076,.673
2.5418,1.9988,4.481,1.937,2.2476,1.527,4.7116,2.0636,.5066
