63,23,57,62,122
51,25,53,62,164
46,33,37,57,164
63,30,45,51,94
70,19,62,60,151
52,35,59,80,73
71,22,55,70,179
33,15,40,112,154
97,37,55,44,112
103,35.21101656537034,52,71,107
66,71,48,97,108
71,46,51,50,57
83,26,43,45,60
77,14,37,66,86
110,15,30,52,96
88,15,51,47,146
65,20,59,137,128
84,24,41,88,67
57,15.435494628908037,45,79,104
34,19,74,67,87
46,18,32,49,82
80,9,49,85,102
58,21,41,90,94
42,14,37,60,75
47,12,69,126,116
48,11,63,60,156
49,11,41,57,154
54,6,32,37,130
30,10,51,81,70
51,20,55,66,117
58,7,68,57,117
73,19,29,52,102
38,26,54,45,147
43,23,70,38,115
39,33,48,32,91
49,16,79,42,128
66,14,73,55,91
59,12,65,61,89
60,13,65,54,123
55,19,81,66,71
60,16,70,52,61
61,17,74,49,188
73,17,81,93,219
77,10,61,102,159
79,14,56,36,147
104,24,58,50,74
68,21,44,60,73
64,16,46,61,111
66,11,79,90,137
49,16,69,62,125
45,18,88,110,117
66,16,61,139,175
237,11,70,52,105
132,16,65,69,188
149,15,50,44,62
141.81519081687603,10,42,53,62
138.97894614447256,16,61,58,77
132.57256915465223,12,58,51,80
123.47891650088829,12,98,38,61
112.58084483665438,17,29,45,132
100.76121081542432,26,33,46,100
88.90287109067117,14,26,32,83
77.8886823158687,11,67,45,66
68.60150114449068,19,55,64,60
85,37,47,91,102
49,25,59,104,227
50,13,55,77,79
34,15,55,62,105
44,11,56,56,76
48,17,61,70,85
52,13,58,29,48
45,15,51,38,77
42,14,56,68,66
63,26,56,70,73
45,13,54,68,67
44,16,27,59,50
56,13,52,39,69
51,11,48,58,119
50,14,50,61,108
43,16,39,53,133
41,12,66,42,74
56,16,72,53,54
47,25,53,60,94
58,10,44,68,93
56,17,56,37,111
47,10,69,62,122
46,11,72,36,138
51,11,54,89,108
47,20,54,68,127
65,12,48,50,88
48,14,67,48,79
52,12,72,51,82
36,13,56,65,73
48,12,66,48,129
63,14,60,58,73
45,14,66,70,81
65,17,67,38,50
58,17,65,40,96
64,14,54,51,71
90,16,59,32,54
64,17,45,70,59
58,20,56,41,54
36,13,80,63,54
