34,57.581185884974374,42,25,77,39.2,46,58,50,122,31,26,48,56,64
45,85.72645706994021,51,32,55,34,31,69,50,74,30,19,48,75,56
26,59.668008749767374,32,35,52,32,25,105,67,90,39,23,36,40,46
18,28.627309980967624,41,38,28,54,45,126,88,97,85,52,34,43,60
16,45.57432071940974,29,28,41,50,43,55,79,118,86,36,52,43,70
30,55.57696033156133,30,20,48,29,26,68,110,107,35,22,45,71,63
21,59.741503267042944,33,25,29,24,34,58,72,98,43,20,56,69,52
23,18.29983361083591,33,21,43,48,52,63,59,87,52,21,53,74,51
17,57.10049646971472,34,22,45,35,47,70,41,59,55,20,39,69,51
27,44.46926098181314,52,23,49,53,43,82,69,76,45,14,40,62,54
44,32.96664935081552,35,29,29,33,57,40,65,51,32,17,60,66,47
14,46.292352099859734,34,19,28,41,53,53,62,78,39,21,65,71,54
61,40,53,29,31,26,37,64,62,41,46,23,63,77,45
28,39,36,24,18,29,45,47,57,109,34,41,62,55,45
34,79,44,36,23,20,62,51,51,79,43,23,63,57,60
10,63,21,32,22,30,59,74,60,38,46,17,72,58,57
91.36275953597243,51,29,25,29,37,55,53,80,49,61,54.68641656935604,63,69,50
303,46,31,23,31,27,40,38,70,59,43,59.7132280659106,63,73,76
101.38282347257604,63,35,22,56,66,55,39,112,48,40,54.42381918040796,60,45,66
100.57525137303028,70,41,24,43,27,52,61,44,62,60,214,60,86,64
129,52,51,18,17,25,48,47,71,59,33,59.24970412394693,59,38,54
110.1678996798943,71,32,20,17,48,51,50,97,70,48,60.990005986856424,63,29,41
110.85959489560824,33,33,27,24,68,43,65,50,55,82,54,56,44,55
104.53487386626753,97,34,22,27,47,37,71,45,78,61,44,76,78,47
103.53378070890098,103,53,26,42,31,30,54,66,62,50,19,69,61,43
314,66,85,23,33,23,51,65,52,61,73,21,64,56,46
50,71,36,25,49,19,59,61,47,63,46,33,85,50,38
26,83,23,24,68,30,41,75,137,41,37,49,62,61,55
20,77,54,23,36,42,45,32,88,54,42,21,63,63,33
35,110,44,23,30,31,74,74,79,44,84,74,51,71,45
46,88,56,35,34,37,32,73,67,57,26,25,48,82,50
25,65,30,40,43,16,49,66,49,35,29,30,68,74,35
33,84,25,17,46,14,41,83,85,66,57,50,56,59,42
30,57,40,45,14,45,37,77,90,55,81,34,54,31,38
127,34,30,31,37,30,69,67,60,78,51,17,66,61.74094263345828,38
120,46,34,32,54,36,63,83,126,102,88,14,73,81,36
112,80,39,30,37,30,41,105,60,51,87,15,61,52,37
86,58,48,59,43,19,32,74,57,74,78,42,54,50,43
68,42,32,53,27,16,51,77,37,97,139,26,75,45,38
22,47,35,56,35,34,55,36,81,100,35,21,79,60,43
36,48,35,54,45,25,68,47,66,86,113,9,56,37,54
28,49,32,49,23,30,29,64,57,95,56,24,55,81,33
45.25346985161477,54,32,48,46,25,54,84,52,74,57,24,54,71,41
26,30,22,57,40,34,70,55,45,77,72,31,52,56,41
55,51,31,56,30,53,48,47,38,78,89,19,63,54,48
33,58,34,58,55,26,79,70,32,76,66,20,81,63,44
36,73,26,60,47,17,73,101,42,88,35,243,68,67,32
67,38,51,54,59,15,65,53,55,111,92,143,61,63,33
31,43,30,51,44,23,65,60,61,120,61,41,52,77,54
30,39,47,43,59,20,81,72,54,69,44,84.48050557858645,46,80,25
32,49,38,48,29,15,70,52,66,87,109,82.55052425826493,56,71,37
32,66,43,44,34,27,74,41,52,81,149,78.99445678197982,92,34,37
32,59,42,37,29,20,81,72,49,79,137,71.47538892544299,68,32,55
24,60,34,30,21,16,61,82,93,71,90,68.92427735604294,52,27,53
25,55,30,68,38,51,56,56,102,84,66,39,58,57,47
26,60,15,88,60,15,58,51,36,73,75,44,64,48,45
28,61,31,45,53,21,44,40,50,62,94,42,66,31,49
26,73,36,51,46,18,46,61,60,70,70,49,48,26,89
28,77,36,45,57,11,79,44,61,85,60,55,50,57,65
29,79,32,39,52,13,69,45,90,113,73,60,69,85,106
23,104,15,17,54,15,88,38,62,57,57,66,58,87,59
23,68,14,15,69,13,61,70,110,75,85,60,51,85,53
38,64,28,12,62,15,70,72,139,56,63,59,42,89,43
17,66,22,16,61,31,65,38,52,76,52,62,36,63,33
30,49,29,16,58,30,50,35,69,75,66,70,43,82,53
32,45,42,25,58,29,42,43,44,93,56,63,41,77,26
40,66,23,45,60,12,61,41,53,51,67,57,31,90,33
24,237,32,19,53,34,58,36,58,56,78,52,47,74,40
33,132,27,20,54,20,98,48,51,60,45,62,28,90,33
29,149,40,16,51,26,29,61,38,68,43,57,51,81,27
29,120.72229078273261,35,15,54,37,33,31,45,53,49,64,46,60,34
30,116.99953448917228,33,15,54,29,26,32,46,78,47,59,51,64,35
29,114.51564611318476,24,13,57,17,67,50,32,118,50,58,44,76,35
35,107.77862210996975,29,16,52,25,55,37,45,50,57,55,48,64,37
33,105.03191440802253,32,15,51,30,47,50,64,74,98,59,50,59,43
14,97.6635174155373,23,24,55,21,59,70,91,68,95,53,53,67,41
22,89.03524028874064,24,13,79,21,55,39,104,83,56,55,59,65,48
35,77.71509948761343,36,19,52,21,55,45,77,87,51,55,56,87,37
24,72.59015284379181,33,17,66,15,56,32,62,70,42,41,58,69.23286920022123,46
26,85,43,35,58,30,61,54,56,84,69,60,57,71.5600345181548,40
53,49,33,23,51,37,58,35,70,66,55,60,60,68,38
22,50,23,22,45,22,51,32,29,81,107,61,49,70,31
33,34,47,22,55,45,56,107,38,43,52,58,56,60,49
31,44,34,20,50,34,56,39,68,41,105,59,63,90,39
31,48,29,16,36,13,54,66,70,44,61,54,61,63,53
33,52,27,17,42,34,27,83,68,48,61,66,44,70,33
31,45,38,10,44,25,52,47,59,76,88,56,53,105,35
27,42,15,25,55,16,48,46,39,73,45,27,54,81.07437711745283,43
30,63,19,20,46,16,50,29,58,80,61,26,37,78.65980602390773,41
26,45,19,15,58,27,39,49,61,105,41,41,70,71,51
34,44,26,17,41,20,66,52,53,64,40,31,65,88,38
28,56,33,14,40,20,72,35,42,68,64,51,68,67,40
26,51,22,20,37,27,53,59,53,87,65,34,57,79,49
25,50,46,10,46,24,44,54,60,102,95,54,51,91,30
30,43,41,19,44,15,56,85,68,76,88,36,47,75,35
21,41,29,21,44,25,69,51,37,86,81,32,64,60,29
18,56,42,23,33,17,72,87,62,86,61,30,50,65,27
37,47,43,18,51,20,54,79,36,88,92,28,63,56,31
26,58,41,18,58,38,54,39,89,109,82,27,48,60,26
27,56,34,24,57,25,48,35,68,90,32,41,34,51,29
20,47,38,27,46,14,67,35,50,56,62,53,41,76,35
23,46,20,20,52,17,72,42,48,61,63,24,53,66,39
26,51,41,16,55,16,56,53,51,80,50,49,50,55,51
25,47,26,21,42,42,66,49,65,48,85,69,53,58,42
42,65,49,23,50,21,60,50,48,49,76,33,54,59,41
56,48,60,22,54,19,66,55,58,71,50,21,70,58,68
28,52,40,26,50,18,67,61,70,45,74,22,64,65,44
30,36,39,24,47,23,65,60,38,60,82,58,73,51,56
