.0147,.0147,.6656,.6656,.6656,.0546,.0083,.0362,2.3002,.3878,.031,.06,.0858,.9504,.2894,.9492
1.734,1.734,.246,.246,.246,.445,.0083,.1678,2.2818,.3942,.023,.0666,.0724,1.412,.142,.174
1.1998,1.1998,.305,.305,.305,.4574,.0083,.2044,1.8568,.3996,.0234,.0554,.0636,1.8746,.07,.1282
.7356,.7356,2.0226,2.0226,2.0226,.2076,.0083,.2312,1.246,.6648,.0254,.192,.06,1.085,.143,.1116
2.1242,2.1242,2.444,2.444,2.444,.312,.0083,2.1156,2.1914,.5218,.0268,.2942,.0584,1.1798,.154,.1792
1.2078,1.2078,6.7014,6.7014,6.7014,1.9022,.0083,.9024,1.5766,.4188,.0194,.2574,.0548,1.3518,.0872,.1704
2.5392,2.5392,6.0148,6.0148,6.0148,.2352,.0083,.135,1.776,.7694,.0208,.1716,.0544,1.7168,.0446,.0726
4.795,4.795,2.9588,2.9588,2.9588,.2198,.0083,.3574,1.9446,1.3156,.0172,.48,.0538,1.2102,.0534,.0536
1.523,1.523,1.9576,1.9576,1.9576,.1614,.0083,.0634,1.4508,.978,.0156,.2502,.0516,1.6498,.1282,.1528
2.3914,2.3914,2.7434,2.7434,2.7434,.4372,.0083,1.4424,3.904,.9184,.0276,1.1302,.054,.5476,.1672,.197
1.72,1.72,1.2632,1.2632,1.2632,.4364,.0083,.6644,3.8286,1.64,.0178,.1192,.0588,1.2482,.0652,.305
.7998,.7998,3.128,3.128,3.128,.4806,.0083,1.867,3.6618,1.0696,.0148,.0886,.057,.9366,.0416,.0528
.7298,.7298,3.396,3.396,3.396,.2628,.0083,1.365,.2338,.531,.0238,.0814,.0576,1.0762,.0424,.0518
1.615,1.615,5.9798,5.9798,5.9798,.6436,.0527,.8422,.1838,.7532,.0264,.2244,.0556,.0444,.0422,.0516
.9356,.9356,1.6826,1.6826,1.6826,.2244,.0682,.1962,.178,.3888,.186,.2382,.0514,.3244,.0418,.0502
.2342,.2342,1.1232,1.1232,1.1232,.1762,.083,.5972,.225,.0476,.0232,.1312,.0542,.8566,.091,.0774
1.6504,1.6504,3.6584,3.6584,3.6584,.1844,.1238,.2326,.1096,.0368,.0206,.089,.052,.9604,.8174,1.796
2.5036,2.5036,5.4654,5.4654,5.4654,.339,1.248,.4012,.373,.034,.0122,.091,.0534,.562,.9244,1.6276
.3168,.3168,5.7474,5.7474,5.7474,.2222,1.8172,3.1778,.1552,.0326,.0128,.0902,.0544,1.339,1.0352,1.905
.7164,.7164,4.5298,4.5298,4.5298,.136,1.552,3.0108,.6516,.0978,.0182,.0888,.0554,.608,1.2896,2.1652
2.3794,2.3794,3.6198,3.6198,3.6198,.147,6.1518,.085,.0866,.5368,.0326,.2878,.0558,.1204,1.6156,2.019
2.4296,2.4296,1.016,1.016,1.016,.2028,.3968,.1678,.2846,.7278,.0274,.2456,.0562,1,1.0084,1.5822
.936,.936,.9926,.9926,.9926,.2442,1.0224,.1614,.1612,.8616,.0834,.4138,.0556,1.1872,.586,1.2838
1.0264,1.0264,.5608,.5608,.5608,.4538,1.9866,.1666,.1706,.8116,.425,.1562,.0584,1.1084,1.114,2.49
.9948,.9948,1.6254,1.6254,1.6254,.2412,.2592,.1358,.139,1.148,.0452,.4666,.0586,.7528,2.4482,1.5492
.7148,.7148,3.1598,3.1598,3.1598,.2454,.0526,.1488,.1026,.5964,.136,.5312,.0608,1.3696,1.2526,1.511
2.1402,2.1402,3.5194,3.5194,3.5194,.1306,.042,.1178,.0642,.2504,.0738,.224,.0584,.8184,1.7804,1.4738
