30,38,23,26,40,45,23,40,69
33,28,22,29,53,32,52,60,74
33,20,29,20,64,39,36,65,69
34,25,31,30,47,46,22,63,62
52,21,56,37,51,34,20,62,66
35,22,43,27,74,43,21,63,71
34,23,17,66,53,46,20,72,77
53,29,17,27,38,61,14,63,55
36,19,24,25,39,43,17,63,57
44,29,27,48,61,40,21,60,58
21,24,42,68,47,60,23,60,69
29,36,33,47,50,33,41,59,73
31,32,49,31,65,48,23,63,45
35,25,68,23,71,82,17,56,86
41,23,36,19,54,61,71.52182187267785,76,38
51,22,30,30,65,50,85.03868528338916,69,29
32,24,34,42,61,73,94.78727696044938,64,44
33,18,43,31,75,46,214,85,78
34,20,46,37,32,37,94.80540640568063,62,61
53,27,14,16,74,42,85.10638264365893,63,56
85,22,37,14,73,84,54,51,50
36,26,54,45,66,26,44,48,61
23,23,37,30,83,29,19,68,63
54,25,43,36,77,57,21,56,71
44,24,27,30,67,81,33,54,82
56,23,35,19,83,51,49,66,74
30,23,45,16,105,88,21,73,59
25,35,23,34,74,87,74,61,31
40,40,46,25,77,78,25,54,59.84160562996708
30,17,40,30,36,139,30,75,81
34,45,30,25,47,35,50,79,52
39,31,55,34,64,113,34,56,50
48,32,47,53,84,56,17,55,45
32,30,59,26,55,57,14,54,60
35,59,44,17,47,72,15,52,37
35,53,59,15,70,89,42,63,81
32,56,29,23,101,66,26,81,71
32,54,34,20,53,35,21,68,56
22,49,29,15,60,92,9,61,54
31,48,21,27,72,61,24,52,63
34,57,38,20,52,44,24,46,67
26,56,60,16,41,109,31,56,63
51,58,53,51,72,149,19,92,77
30,60,46,15,82,137,20,68,80
47,54,57,21,56,90,243,52,71
38,51,52,18,51,66,143,58,34
43,43,54,11,40,75,41,64,32
42,48,69,13,61,94,105.82882235798924,66,27
34,44,62,15,44,70,99.8795324411362,48,57
30,37,61,13,45,60,90.34600178408645,50,48
15,30,58,15,38,73,78.8893807592464,69,31
31,68,58,31,70,57,67.17081973902306,58,26
36,88,60,30,72,85,39,51,57
36,45,53,29,38,63,44,42,85
32,51,54,12,35,52,42,36,87
15,45,51,34,43,66,49,43,85
14,39,54,20,41,56,55,41,89
28,17,54,26,36,67,60,31,63
22,15,57,37,48,78,66,47,82
29,12,52,29,61,45,60,28,77
42,16,51,17,31,43,59,51,90
23,16,55,25,32,49,62,46,74
32,25,79,30,50,47,70,51,90
27,45,52,21,37,50,63,44,81
40,19,66,21,50,57,57,48,60
35,20,58,21,70,98,52,50,64
33,16,51,15,39,95,62,53,76
24,15,45,30,45,56,57,59,64
29,15,55,37,32,51,64,56,59
32,13,50,22,54,42,59,58,67
23,16,36,45,35,69,58,57,65
24,15,42,34,32,55,55,60,87
36,24,44,13,107,107,59,49,69.11858183597926
33,13,55,34,39,52,53,56,70.16796670632084
43,19,46,25,66,105,55,63,68
33,17,58,16,83,61,55,61,70
23,35,41,16,47,61,41,44,60
47,23,40,27,46,88,60,53,90
34,22,37,20,29,45,60,54,63
29,22,46,20,49,61,61,37,70
27,20,44,27,52,41,58,70,105
38,16,44,24,35,40,59,65,79.96180357834386
15,17,33,15,59,64,54,68,81.3970845409016
19,10,51,25,54,65,66,57,71
19,25,58,17,85,95,56,51,88
26,20,57,20,51,88,27,47,67
33,15,46,38,87,81,26,64,79
22,17,52,25,79,61,41,50,91
46,14,55,14,39,92,31,63,75
41,20,42,17,35,82,51,48,60
29,10,50,16,35,32,34,34,65
42,19,54,42,42,62,54,41,56
43,21,50,21,53,63,36,53,60
41,23,47,19,49,50,32,50,51
34,18,50,18,50,85,30,53,76
38,18,53,23,55,76,28,54,66
20,24,65,36,61,50,27,70,55
41,27,71,24,60,74,41,64,58
26,20,54,25,45,82,53,73,59
49,16,73,22,59,34,24,53,58
60,21,50,29,60,51,49,50,65
40,23,56,29,55,43,69,36,51
39,22,72,27,53,53,33,39,54
