44,32,31,32,24,39,20,47,31,48,35,102,70,41,15
42,32,28,46,15,14,16,40,49,64,30,117,61,31,25
37,31,25,54,20,31,13,40,32,47,26,116,45,30,24
25,52,28,39,16,33,17,25,34,67,15,150,58,31,22
28,26,21,50,10,28,38,46,23,126,21,129,61,32,18
23,35,22,41,9,19,51,35,33,47,17,126,53,30,19
21,24,22,40,14,10,41,30,34,67,18,125,54,30,20
23,26,23,52,16,49,36,43,42,62,14,156,63,54,17
19,29,15,54,25,22,16,39,40,49,15,152,42,59,26
27,32,15,59,39,53,16,36,53,52,14,119,45,55,18
23,38,15,52,24,29,12,30,65,78,14,101,66,40,19
28,54,13,41,32,29,14,57,59,44,14,89,68,36,16
31,57,13,47,24,31,15,42,49,48,14,119,60,83,21
71,51,13,36,25,21,19,28,140,87,14,112,44,77,19
36,47,11,57,24,28,27,31,43,81,16,97,63,26,17
6,48,10,44,21,35,27,29,45,103,16,140,44,60.890340280964615,23
36.94361087250161,32,14,48,36,35,34,34,35,78,17,82,70,61.73977066120232,19
33.85845633678348,51,10,48,30,50,17,39,40,110,21,92,51,58.08389146343273,33
30,52,10,43,36,42,16,41,24,81,14,112,44,59.2020968247779,15
41,38,7,45,28,30,15,35,42,28,35,103,48,57.942070869621034,22
41,31,8,54,33,32,12,39,29,40,37,88,72,55,34
41,39,9,41,41,34,15,35.9321608409152,45,84,28,90,70,85,24
38,66,9,49,22,33,14,39.535415127395474,15,46,27,87,57,89,24
23,41,8,40,31,43,28,39,16,49,38,64,45,36,20
28,38,8,43,31,53,47,40,19,40,20,83,44,38,26
23,36,16,47,14,41,12,39,48,44,14,76,47,39,43
28,31,8,43,28,35,13,51,42,105,20,79,28,57,23
25,29,8,47,28,47,14,49,37,117,18,82,76,56,24
28,27,9,52,23,40,11,38,34,39,14,58,60,102,24
27,69,12,48,26,33,12,41,26,50,17,63,71,46,23
63,30,7,49.3210457984932,33,50,15,44,53,82,27,74,62,57,36
53,42,9,45.884998765909394,37,74,15,38,76,102,19,71,73,78,23
54,56,9,49.848753567274976,28,59,15,49,18,140,16,91,48,59,22
27,66,19,48.712127706299164,34,48,66,43,31,96,17.932279227128248,83,58,55,41
29,46,11,64,35,68,14,36,34,94,18.96731313261974,61,65,50,35
37,56,11,47,40,73,25,52,25,48,18.968104680517925,62,55,53,20
19,32,10,45,35,114,14,55,77,120,19.799080480921614,71,49,76,33
27,28,8,45,34,64,16,47,61,41,15.13582205718195,74,56,54,29
29,36,9,43,23,127,36,34,45,34,17.364137406349162,72,62,60,23
45,35,11,43,39,78,29,39,59,32,19.375828328764186,103,59,65,33
42,52,9,49,26,66,16,43,20,41,15,93,49,40,47
38,42,10,46,19,47,20,63,26,47,33,103,80,35,65
44,56,14,48,37,35,50,42,28,53,16,133,74,47,65
33,44,12,50,29,49,26,36,43,39,20,91,75,49,61
30,50,12,47,26,81,34,47,18,138,14,70,54,45,47
33,33,18,42,25,44,15,45,40,76,15,119,61,43,41
44,32,10,46,27,86,18,45,31,76,26,115,50,49,55
28,29,8,49,20,79,12,41,39,40,33,98,76,62,52
25,28,10,53,20,61,46,43,30,48,63,115,83,56,105
24,51,8,51,24,46,16,61,40,90,15,91,64,61,62
25,33,9,45,13,48,16,51,36,116,13,93,54,53,47
25,31,10,45,20,65,22,67,46,61,18,87,52,62,86
28,30,10,48,17,57,16,66,59,80,30,164,65,49,61
27,36,10,57,25,60,20,75,34,39,19,80,50,84,47
32,31,11,56,48,50,54,33,87,36,16,89,65,80,45
42,40,11,54,43,44,43,38,44,36,18,59,54,77,37
36,30,10,57,24,78,13,51,35,37,13,151,58,91,39
31,27,11,52,15,39,24,38,105,41,16,117,58,51,37
33,28,9,46,16,61,42,36,75,39,15,143,51,65,31
29,43,11,45,17,57,72,60,77,37,32,55,55,67,34
38,29,9,46,22,59,21,56,49,39,28,64,49,69,47
39,25,9,50,23,63,19,56,33,95,31,108,51,65,55
47,31,9,45,25,85,28,75,25,25,19,109,59,59,30
36,49,8,51,21,71,25,56,50,43,25,152,59,83,27
48,63,10,46,27,81,25,46,43,44,27,96,49,57,17
37,37,11,40,14,56,38,88,48,21,13,126,54,52,23
32,63,10,38,23,57,32,39,43,28,17,127,47,56,25
41,34,10,39,14,66,35,38,47,26,40,98,56,72,70
42,30,10,37,21,63,25,42,32,49,33,102,50,55,27
30,40,11,45,29,64,25,51,24,56,28,100,49,45,31
23,33,10,48,23,52,29,40,24,27,22,101,64,60,27
23,29,10,47,13,70,48,53,35,20,25,103,55,63,33
23,29,13,42,21,56,38,34,54,35,38,59,62,60,34
27,26,18,50,24,67,23,46,47,25,34,88,60,73,29
42,42,16,35,19,48,32,62,119,92,24,103,55,63,31
28,72,14,31,18,74,15,54,89,48,23,89,45,48,20
34,28,17,49,15,45,28,43,41,86,45,83,57,44,22
29,30,21.2616450776006,47,42,82,39,41,52,84,39,61,45,58,63
61,26,18.141547337016977,47,18,48,36,38,59,71,36,84,60,52,44
64,36,14.142536912963376,48,47,83,28,46,47,38,20,78,60,50,30
37,32,21.599770396675975,46,29,56,44,50,66,63,17,72,53,49,25
29,37,15.362775780270049,44,25,47,51,51,90,100,34,95,64,38,43
26,37,20.321202407106707,45,22,83,28,84,75,110,34,90,62,46,25
42,33,19.40525707260196,45,29,76,25,81,58,66,25,72,60,57,22
89,67,19.418898798147605,45,18,76,44,85,57,70,33,53,50,61,69
59,51,16.361810044449882,46,14,105,29,88,57,134,28,46,52,65,22
35,35,20.72388650745893,56,21,34,35,67,61,108,34,116,33,96,35
35,39,10.716519652637235,45,13,36,33,95,35,52,30,95,42,66,30
46,44,15.840610084216541,49,16,51,32,55,32,34,33,79,57,88,26
51,75,13.320804809984704,49,19,33,31,38,32,130,51,80,58,90,26
32,43,13.863796874805727,48,24,42,51,62,110,56,62,72,74,57,26
48,35,15.873014891467308,48,31,49,56,74,54,48,34,74,70,46,52
31,27,16.42696282321066,48,9,43,64,64,75,113,39,84,67,61,9
37,29,16.129402017608662,54,10,33,34,25,51,122,22,116,57,85,32.903332165017744
21,31,16.41205406104858,56,15,55,28,26,80,68,21,85,46,72,39
72,34,16.5121326027825,59,19,54,27,61,38,108,48,97,53,115,43
38,27,15,58,10,22,21,87,73,61,26,89,66,62,36
53,28,22,53,10,48,27,111,70,18,27,83,52,65,42
68,37,14,57,12,29,34,52,62,24,63,94,54,66,38
38,54,13,55,21,13,39,51,60,57,44,93,50,43,34
37,28,17,56,13,10,38,54,58,51,35,113,61,48,34
38,23,9,59,14,20,30,59,61,35,41,131,55,46,31
47,43,11,57,19,16,28,45,36,34,33,103.96021254924598,48,40,41
26,42,14,52,10,16,39,54,35,28,72,108.73962203435163,45,51,50
31,41,34,55,11,19,55,51,35,35,61,104.09744072242215,46,55,38
35,25,22,41,15,34,45,27,32,61,39,109,54,99,43
27,40,13,51,15,21,58,32,36,68,39,97,42,73,51
52,28,21,57,15,14,47,93,129,36,25,93,60,73,30
31,20,12,61,11,12,43,66,80,58,30,106,55,91,50
35,32,19,68,21,15,52,67,44,73,25,116,77,75,35
45,19,14,71,18,47,31,101,91,44,60,81,53,67,38
35,28,21,69,55,66,46,107,54,77,64,99,67,48,61
23,66,12,73,44,57,39,117,39,49,33,118,66,60,39
69,49,8,61,20,30,20,65,43,49,19,142,79,55,28
63,38,10,61,17,26,29,57,35,90,20,86,94,75,65
48,39,10,65,25,26,27,73,35,58,20,75,29,56,133
32,23,12,65,14,23,41,84,32,51,46,157,53,69,77
27,28,13,57,11,23,42,94,37,39,33,74,40,83,52
68,32,23,63,17,22,48,88,124,64,90,83,65,47,34
78,34,10,53,9,23,47,57,110,77,42,149,46,35,25
125,35,10,73,13,25,45,48,74,40,37,101,64,35,27
70,42,11,64,15,30,37,102,109,47,73,135,42,24,40
64,33,10,79,8,38,40,94,84,45,84,51,42,28,40
50,65,10,73,18,80,37,79,137,45,51,56,36,22,48
51,28,11,63,27,101,50,58,99,86,48,68,56,79,69
43,66,11,63,25,80,74,34,86,74,22,58,81,63,45
65,37,12,66,23,44,49,59,158,47,66,44,53,41,30
60,46,10,67,17,56,25,44,50,22,33,44,56,27,27
55,33,13,56,21,56,26,57,111,33,26,45,59,32,22
63,33,12,67,16,44,27,63,67,26,22,41,57,23,85
64,39,21,63,28,79,28,64,66,127,26,42,54,90,46
69,82,28,74,17,44,36,55,133,37,82,43,77,34,27
79,55,22,60,13,40,27,57,131,27,55,44,73,97,61
65,49,17,75,36,21,51,64,62,57,79,47,68,83,46
62,92,17,65,14,25,54,96,94,59,45,88,72,50,49
61,49,15,68,39,23,66,79,79,36,53,161,63,105,61
84,72,15,76,16,51,87,59,89,72,34,67,73,91,84
61,82,12,83,20,52,44,48,83,61,58,75,66,175,97
53,57,29,73,11,50,37,44,87,44,60,68,66,236,96
40,53,17,66,11,56,56,43,128,41,50,81,51,77,100
74,68,15,67,40,36,89,44,82,42,54,118,67,71,36
82,42,20,64,12,36,45,45,115,73,55,78,59,75,32
85,62,16,70,44,44,30,59,77,60,38,74,49,73,63
117,40,15,68,26,37,19,78,122,62,54,104,63,65,34
73,58,35,62,21,39,46,75,42,61,60,83,54,80,32
85,38,26,61,35,78,54,103,106,46,95,82,50,108,30
55,40,16,63,28,87,25,104,42,45,41,103,53,50,31
32,58,13,60,40,97,21,82,116,76,36,152,68,47,44
