.2024,.1328,.091,.1596,.0434,.0452,.0348,.5415,.0826,.0536,.0478,.0298,.1882,.0794,.024
.1404,.1286,.0696,.0854,.0434,.2196,.0274,.103,.1116,.0516,.0284,.0296,.2448,.7296,.0276
.0868,.1286,.0196,.0704,.0588,.0768,.025,.0838,.0348,.052,.032,.0582,.2416,1.0748,.0566
.0536,.1234,.0142,.0664,.0426,.0088,.0268,.0772,.031,.0486,.0362,.0298,.21,.86,.037
.0534,.1014,.0184,.0584,.0412,.0174,.0268,.0726,.0336,.0462,.0286,.031,.2144,1.2954,.0312
.0522,.1002,.0152,.0522,.0394,.1588,.0302,.0596,.0242,.046,.029,.0312,.2022,1.3138,.0216
.0694,.0922,.0164,.0506,.039,.1446,.0358,.0564,.0188,.0456,.03,.0258,.1778,1.3396,.0196
.0724,.0876,.0192,.0462,.0402,.0158,.1418,.0496,.0506,.0448,.028,.022,.1584,.9458,.0298
.0676,.0838,.0164,.0444,.041,.0132,.2446,.0444,.0296,.0444,.0258,.025,.1442,1.025,.0222
.0678,.0814,.02,.0604,.0452,.012,.1714,.0442,.0248,.0446,.0252,.0318,.158,.683,.0222
.0602,.0932,.0204,.0472,.0442,.0128,.144,.1916,.0274,.0438,.026,.0332,.2414,.5184,.0242
.0638,.0858,.025,.0398,.0428,.0126,.1262,.2718,.0274,.0432,.0264,.0316,.259,.4506,.0222
.0616,.0718,.0384,.05,.042,.0134,.1828,.3526,.104,.0438,.0272,.0312,.2342,.4892,.0228
.0374,.0638,.036,.0624,.042,.0118,.245,.4342,.0574,.0426,.0274,.0304,.2042,.1476,.023
.0312,.086,.029,.1028,.0416,.0124,.2236,.4436,.0528,.0428,.0278,.0306,.1874,.0258,.0202
.0308,.1078,.0272,.1874,.0436,.0154,.1836,.5032,.0748,.044,.0284,.0314,.1668,.026,.0212
.0306,.084,.0232,.1622,.0566,.0142,.1436,.5634,.1208,.0462,.0288,.0306,.1504,.0306,.021
.0314,.1216,.0184,.1192,.0618,.0146,.1214,.5854,.1488,.0472,.0294,.029,.1442,.0326,.02
.0312,.1246,.015,.0444,.0742,.0132,.2412,.5674,.087,.049,.037,.031,.1438,.04,.0214
.0308,.1136,.0138,.2562,.0814,.0132,.329,.5432,.051,.0452,.0398,.0296,.1482,.0268,.0196
.0352,.1102,.0126,.0722,.0796,.0144,.2108,.5304,.0502,.0426,.0512,.0286,.1614,.0442,.0296
.0316,.0996,.0112,.047,.0752,.0128,.2544,.514,.0628,.0418,.0544,.0284,.1618,.0396,.0224
.031,.0944,.01,.0572,.0696,.02,.3836,.5,.0596,.0448,.0568,.0294,.185,.0338,.0296
.0316,.0778,.0098,.0268,.0618,.0182,.2926,.4958,.0488,.0434,.062,.0294,.189,.0298,.0226
