491.98,333.06666667,602.26,454.6,518.25,63.804,227.78666667,82.881666667,456.05,125.242,100.712,203.84,177.64,594.44,810.88,59.6875,126.24,264.8
479.68,327.96666667,1306,494.86,422.85,23.54,89.756,80.4,456.05,143.754,107.064,133.64,151.18,138.5,859.8,57.815,126.54,244.92
546.16,381.8,1210.33333333333,502.44,526.6,116.958,92.27,97.144,456.05,95.678,143.35,138.36,138.36,147.375,633.2625,252.586,137.46,240.35
525.68,370.65,1114.66666666667,546.16,645.46666667,140.216,203.74,98.004,110.12,155.48,148.02,169.64,184.56,129.02,406.725,124.915,166.8,247.98
492.48,448.12,1019,531,601.875,114.726,111.5,97.996,68.42,469.8,146.456,213.72,125.08,123.18,443,88.362,166.48,239.5
572.14,475.56,1026.1125,517.46666667,1205,96.3725,109.82,91.458,74.99,337.24,103.654,229.96,139.3,151.26,403.3,91.118,159.62,262.15
483.24,446.425,1033.225,574.16,464.23333333,152.9975,115.6,97.332,85.176,96.48,126.8,152.69,163.38,198.66,86.182,77.636,135.34,252.22
360.28,446.08,780.4,491.12,387.24,131.332,120.1,75.014,106.966,58.486,94.108,106.18,178.74,254.64,242.296,72.63,134.24,275.52
341.12,440.24,679.6,509.26,374.9,84.54,142.46,76.694,63.114,85.33,127.38,154.38,151.96,187.24,430.02,77.166666667,132.36,255.5
345.14,432.26,634.16,519.02,365.62,218.425,504.72,73.766,83.94,80.388,138.54,126.546,139.88,122.08,249.4,94.918,114.4,239.08
329.625,360.26,489.4,493.56,401.78333333,62.196,863.7,90.488,77.104,76.41,177.24,114.722,141.04,187.48,281.275,120.176,125.08,224.82
384.24,304,518.56,480.94,401.7,41.668,257.325,92.442,91.714,130.42,124.38,166.92,148.06,162.8,199.142,92.278,118.14,199.44
487.71666667,456.78,527.8,397.32,403.516666665,42.922,198.6625,79.162,67.432,69.848,126.036,177.08,133.02,125.12,177.438,123.244,137.84,191.76
452.25,496.5,583.2,351.3,405.33333333,105.14,140,77.284,86.89,59.972,96.978,175.92,149.96,194.46,326.46,99.924,163.22,213.2
572.98,312.52,602.16,362.54,1296,173.44,97.862,91.118,116.266,71.572,174.86,88.698,138.34,220.28,96.726,86.456666667,124.92,246.58
604.68333333,319.48,537.26,363.725,797.86666667,159.538,116.846,85.548,134.316,93.072,193.98,100.984,163.14,147.2,324.06666667,136.33,110.58,104.412
454.03333333,311.44,672.84,478.12,840.933333335,34.405,99.822,91.676,113.098,100.566,108.836,102.182,122.08,146.32,311.44,101.62,111.48,100.134
507.08,312.3,506.12,441.96,884,101.922,102.838,85.696,191.896,67.748,144.66,151.492,137.48,171.2,112.868,62.926666667,112.004,93.98
